name;mfr;type;calories;protein;fat;sodium;fiber;carbo;sugars;potass;vitamins;shelf;weight;cups;rating
String;Categorical;Categorical;Int;Int;Int;Int;Float;Float;Int;Int;Int;Int;Float;Float;Float
Apple Jacks;K;C;110;2;0;125;1;11;14;30;25;2;1;1;33.174094
Cheerios;G;C;110;6;2;290;2;17;1;105;25;1;1;1.25;50.764999
Cocoa Puffs;G;C;110;1;1;180;0;12;13;55;25;2;1;1;22.736446
Froot Loops;K;C;110;2;1;125;1;11;13;30;25;2;1;1;32.207582
Frosted Flakes;K;C;110;1;0;200;1;14;11;25;25;1;1;0.75;31.435973
Fruity Pebbles;P;C;110;1;1;135;0;13;12;25;25;2;1;0.75;28.025765
Honey Nut Cheerios;G;C;110;3;1;250;1.5;11.5;10;90;25;1;1;0.75;31.072217
Lucky Charms;G;C;110;2;1;180;0;12;12;55;25;2;1;1;26.734515
Trix;G;C;110;1;1;140;0;13;12;25;25;2;1;1;27.753301
